depth,color_id,lower,median,upper,pred_year
0,0,-14.94690660294855,-0.9739124018960335,13.346300703473666,2017
5.25,0,7.915717729095305,21.089085615973914,34.41701862331824,1995
9.5,1,29.306701940041176,42.06687635345208,54.64530405464812,1974
10.25,1,33.934101859999956,46.44002909491799,60.25469863088888,1970
13,1,48.407585571457325,61.74634502373323,75.79104080033149,1954
14.25,1,54.2160588857352,68.97603248084715,81.37485309171916,1947
15,1,59.60635239154868,73.68236108762966,87.22146220017434,1942
15.25,1,62.14089796952703,74.9069786470858,87.81213917554196,1941
16.75,1,71.62186655830558,84.77345058068417,97.45972633457183,1931
