pot_no,nh4,beta,bg_scam10,bg_sppa10,total_bg,site_frame,level,position,co2,salinity,comp,elevation,genotype,location,depth_seed,cohort,origin_lab,date_cloned_grp,date_planted_grp,weight_init,width_init,nodes_init,agb_scam,agb_sppa,dens_scam_live,dens_scam_dead,height_sppa,height_scam_tot,height_scam_grn,width_scam_mid,width_scam_bas,prop_twist,soil_to_pot,id,extinct,age
84,NA,NA,NA,NA,NA,fresh_2,5,4,elevated,fresh,0,0.09899999999999999,ca10,corn,16.75,corn_ancestral,nd,1,1,0.633,3.35,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_5_4,1,ancestral
85,NA,0.9438747706095035,0.077,NA,0.16,fresh_2,5,5,elevated,fresh,0,0.09899999999999999,cm10,corn,0,corn_modern,nd,3,2,1.789,3.44,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_5_5,1,modern
86,NA,NA,NA,NA,NA,fresh_2,5,6,elevated,fresh,1,0.09899999999999999,cm3,corn,0,corn_modern,utk,2,1,0.531,1.39,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_5_6,1,modern
87,31.13731726,0.8913183282478534,2.093,NA,2.928,fresh_2,5,7,elevated,fresh,0,0.09899999999999999,b1,blackwater,2,blackwater,nd,1,1,1.147,3.09,1,3.734,0,12,3,NA,49.75,45.333333333333336,3.8333333333333335,4.358333333333333,0.16666666666666666,4.5,fresh_2_5_7,0,modern
88,35.23770473,NA,2.2,NA,3.285,fresh_2,5,8,elevated,fresh,1,0.09899999999999999,cm6,corn,0,corn_modern,utk,1,1,0.781,1.21,1,4.131,0,17,4,NA,47.1875,44.75,3.275,3.63125,0.0625,3,fresh_2_5_8,0,modern
89,NA,NA,NA,NA,NA,fresh_2,6,1,elevated,fresh,1,-0.001333333333333353,ca8,corn,15,corn_ancestral,nd,1,1,0.977,5.13,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_1,1,ancestral
90,NA,NA,NA,NA,NA,fresh_2,6,2,elevated,fresh,0,-0.001333333333333353,b2,blackwater,10,blackwater,nd,3,2,0.558,2.21,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_2,1,modern
91,NA,NA,NA,NA,NA,fresh_2,6,3,elevated,fresh,1,-0.001333333333333353,cm10,corn,0,corn_modern,nd,3,2,1.341,3.65,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_3,1,modern
92,NA,NA,NA,NA,NA,fresh_2,6,4,elevated,fresh,0,-0.001333333333333353,ca3,corn,18.75,corn_ancestral,utk,2,1,1.76,1.56,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_4,1,ancestral
93,NA,NA,NA,NA,NA,fresh_2,6,5,elevated,fresh,0,-0.001333333333333353,cm9,corn,0,corn_modern,nd,2,1,3.608,2.17,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_5,1,modern
94,NA,NA,NA,NA,NA,fresh_2,6,6,elevated,fresh,0,-0.001333333333333353,ka2,kirkpatrick,14,kirk_ancestral,utk,2,1,0.984,1.71,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_6,1,ancestral
95,NA,NA,0.03,NA,0.178,fresh_2,6,7,elevated,fresh,1,-0.001333333333333353,ca1,corn,20.75,corn_ancestral,utk,1,1,1.325,1.88,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_7,1,ancestral
96,NA,NA,NA,NA,NA,fresh_2,6,8,elevated,fresh,0,-0.001333333333333353,cm4,corn,0,corn_modern,utk,1,1,2.469,1.86,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_6_8,1,modern
97,NA,0.9482529842970205,1.576,NA,5.06,fresh_3,1,1,ambient,fresh,0,0.526,km4,kirkpatrick,extant,kirk_modern,nd,1,1,1.136,3.25,1,2.405,0,11,1,NA,37.13636363636363,36.27272727272727,3.5454545454545454,3.8454545454545457,0,4.5,fresh_3_1_1,0,modern
98,34.08447074,0.9392815003634158,1.46,NA,5.5520000000000005,fresh_3,1,2,ambient,fresh,0,0.526,cm8,corn,0,corn_modern,nd,1,1,0.667,2.29,2,1.186,0,12,0,NA,40.083333333333336,38.166666666666664,1.5833333333333333,1.775,0.4166666666666667,6,fresh_3_1_2,0,modern
99,NA,0.9420507029496872,2.161,NA,5.332,fresh_3,1,3,ambient,fresh,0,0.526,cm7,corn,0,corn_modern,utk,1,1,0.968,1.55,1,1.4549999999999998,0,9,0,NA,44.333333333333336,42.833333333333336,1.8666666666666667,2.1333333333333333,0.2222222222222222,6,fresh_3_1_3,0,modern
100,NA,NA,2.536,1.7,9.055,fresh_3,1,4,ambient,fresh,1,0.526,ca2,corn,18.75,corn_ancestral,utk,2,1,2.91,2,1,2.083,3.704,10,2,70,46.65,45.65,2.77,2.99,0.3,5.5,fresh_3_1_4,0,ancestral
101,NA,NA,0.052,3.519,6.111,fresh_3,1,5,ambient,fresh,1,0.526,cm4,corn,0,corn_modern,utk,3,2,0.501,1.58,1,0.01,7.968,0,1,77,NA,NA,NA,NA,NA,5,fresh_3_1_5,0,modern
102,NA,0.9337195729011492,3.501,NA,6.718999999999999,fresh_3,1,6,ambient,fresh,0,0.526,ca5,corn,18.75,corn_ancestral,utk,1,1,0.921,1.97,1,3.591,0,13,2,NA,45.57692307692308,43.42307692307692,3.069230769230769,3.3461538461538463,0.23076923076923078,6.5,fresh_3_1_6,0,ancestral
103,NA,0.968881282158118,2.372,NA,9.456,fresh_3,1,7,ambient,fresh,0,0.526,ka3,kirkpatrick,14,kirk_ancestral,nd,2,1,0.574,1.16,1,2.412,0,8,2,NA,49.0625,47.6875,2.9875,3.2125,0.25,5,fresh_3_1_7,0,ancestral
104,NA,NA,2.751,1.743,8.438,fresh_3,1,8,ambient,fresh,1,0.526,ca8,corn,15,corn_ancestral,nd,1,1,0.353,2.66,1,2.33,2.549,12,0,72.5,41.458333333333336,38.208333333333336,2.275,2.533333333333333,0.16666666666666666,4.5,fresh_3_1_8,0,ancestral
105,NA,0.8957690051923978,1.191,NA,1.635,fresh_3,2,1,ambient,fresh,0,0.4116666666666667,ka1,kirkpatrick,18,kirk_ancestral,utk,1,1,0.617,0.98,1,1.546,0,10,3,NA,41.65,41.1,2.58,2.68,0.1,4,fresh_3_2_1,0,ancestral
106,NA,NA,0.83,2.572,6.27,fresh_3,2,2,ambient,fresh,1,0.4116666666666667,cm7,corn,0,corn_modern,utk,1,1,0.721,1.61,1,0.9480000000000001,6.311,6,2,71,37.916666666666664,37.333333333333336,2.1833333333333336,2.25,0.16666666666666666,4,fresh_3_2_2,0,modern
107,NA,0.9197110057809338,5.025,NA,9.131,fresh_3,2,3,ambient,fresh,0,0.4116666666666667,ca1,corn,20.75,corn_ancestral,utk,1,1,0.993,1.35,2,4.175,0,25,1,NA,42,40.98,2.544,2.872,0.24,3.5,fresh_3_2_3,0,ancestral
108,NA,NA,NA,NA,NA,fresh_3,2,4,ambient,fresh,0,0.4116666666666667,ca10,corn,16.75,corn_ancestral,nd,3,2,1.721,2.31,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_2_4,1,ancestral
109,NA,NA,2.776,2.016,7.75,fresh_3,2,5,ambient,fresh,1,0.4116666666666667,cm10,corn,0,corn_modern,nd,3,2,1.218,2.45,1,3.98,5.12,19,1,86,44.5,43.77777777777778,2.9944444444444445,3.388888888888889,0.2777777777777778,3.1,fresh_3_2_5,0,modern
110,NA,0.9181592393184607,7.621,NA,12.987,fresh_3,2,6,ambient,fresh,0,0.4116666666666667,km1,kirkpatrick,0,kirk_modern,utk,1,1,0.618,1.61,2,6.2860000000000005,0,27,1,NA,43.7962962962963,42.74074074074074,3.1333333333333333,3.4703703703703703,0.37037037037037035,4.5,fresh_3_2_6,0,modern
111,NA,NA,4.154,0.99,9.971,fresh_3,2,7,ambient,fresh,1,0.4116666666666667,ca3,corn,18.75,corn_ancestral,utk,1,1,0.782,2.87,2,4.755,2.512,14,2,56.5,49.5,48.34615384615385,3.476923076923077,3.9307692307692306,0.3076923076923077,5,fresh_3_2_7,0,ancestral
112,NA,0.9313169408298251,4.941,NA,10.872,fresh_3,2,8,ambient,fresh,0,0.4116666666666667,cm4,corn,0,corn_modern,utk,1,1,1.155,1.98,1,4.036,0,27,1,NA,37.92307692307692,36.17307692307692,1.976923076923077,2.2153846153846155,0.23076923076923078,3,fresh_3_2_8,0,modern
113,36.42297298,0.8870516672743122,5.331,NA,7.441000000000001,fresh_3,3,1,ambient,fresh,0,0.31433333333333335,km5,kirkpatrick,extant,kirk_modern,nd,3,2,1.271,2.89,1,7.551,0,16,5,NA,54.78125,53.84375,3.6875,3.88125,0.125,4,fresh_3_3_1,0,modern
114,NA,NA,7.506,0.678,10.396,fresh_3,3,2,ambient,fresh,1,0.31433333333333335,cm4,corn,0,corn_modern,utk,1,1,0.842,1.33,2,6.885,2.162,21,4,71,45.92857142857143,43.9,3.6904761904761907,4.166666666666667,0.14285714285714285,4,fresh_3_3_2,0,modern
115,NA,0.8355611688447068,12.904,NA,15.361,fresh_3,3,3,ambient,fresh,0,0.31433333333333335,cm2,corn,0,corn_modern,utk,1,1,1.097,1.88,2,11.94394543530545,0,17,3,NA,66.8125,64.4375,5.10625,5.5375,0.625,4.5,fresh_3_3_3,0,modern
116,NA,0.7984420223644696,12.338,NA,13.661,fresh_3,3,4,ambient,fresh,0,0.31433333333333335,cm9,corn,0,corn_modern,nd,1,1,0.904,2.48,2,13.618199663964154,0,39,0,NA,56.64473684210526,54.6578947368421,3.8157894736842106,4.007894736842105,0.2894736842105263,5,fresh_3_3_4,0,modern
117,NA,0.8584095267917459,8.611,NA,10.696000000000002,fresh_3,3,5,ambient,fresh,0,0.31433333333333335,ka6,kirkpatrick,16,kirk_ancestral,utk,1,1,1.473,2.13,1,9.689,0,22,1,NA,58.20454545454545,56.61363636363637,4.290909090909091,4.777272727272727,0.18181818181818182,4,fresh_3_3_5,0,ancestral
118,41.00387461,NA,6.076,1.207,10.344,fresh_3,3,6,ambient,fresh,1,0.31433333333333335,ca3,corn,18.75,corn_ancestral,utk,2,1,2.682,1.61,1,7.182,1.349,16,2,64,57.875,55.71875,4.16875,4.76875,0.3125,3.5,fresh_3_3_6,0,ancestral
119,NA,NA,6.948,0.119,11.578000000000001,fresh_3,3,7,ambient,fresh,1,0.31433333333333335,ca9,corn,14.25,corn_ancestral,nd,2,1,1.28,2.3,1,6.662,0.307,16,1,39.5,56.9375,55.4375,4.2,4.90625,0.125,4.5,fresh_3_3_7,0,ancestral
120,NA,0.8875550208019748,8.342,NA,11.824,fresh_3,3,8,ambient,fresh,0,0.31433333333333335,ca4,corn,20.75,corn_ancestral,utk,1,1,1.386,2,1,8.154746034409369,0,29,4,NA,46.25555555555555,44.111111111111114,3.825925925925926,4.2444444444444445,0.37037037037037035,4.4,fresh_3_3_8,0,ancestral
121,NA,0.9295639185458094,0.8460000000000001,NA,1.4020000000000001,fresh_3,4,1,ambient,fresh,0,0.20933333333333337,cm1,corn,0,corn_modern,utk,2,1,1.145,1.48,1,1.9480071941486499,0,7,1,NA,56.916666666666664,50.75,3.783333333333333,4.083333333333334,0.16666666666666666,4,fresh_3_4_1,0,modern
122,45.29646773,NA,6.109,0.243,9.122,fresh_3,4,2,ambient,fresh,1,0.20933333333333337,ca7,corn,20.75,corn_ancestral,utk,1,1,1.495,1.86,1,10.139,0.196,20,2,NA,60.60526315789474,56.18421052631579,4.131578947368421,4.6,0.2631578947368421,2,fresh_3_4_2,0,ancestral
123,NA,NA,NA,NA,NA,fresh_3,4,3,ambient,fresh,1,0.20933333333333337,cm10,corn,0,corn_modern,nd,1,1,0.982,2.82,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_4_3,1,modern
124,NA,0.8289669833049309,8.545,NA,9.895,fresh_3,4,4,ambient,fresh,0,0.20933333333333337,ca10,corn,16.75,corn_ancestral,nd,1,1,1.047,2.38,1,10.282318670843289,0,27,3,NA,55.63461538461539,53.59615384615385,4.5,5.084615384615384,0,2,fresh_3_4_4,0,ancestral
125,NA,0.8509820117405659,3.696,NA,4.465,fresh_3,4,5,ambient,fresh,0,0.20933333333333337,ka2,kirkpatrick,14,kirk_ancestral,utk,1,1,0.668,1.59,1,5.0120000000000005,0,15,NA,NA,59.7,57.36666666666667,3.5733333333333333,4.166666666666667,0,2.5,fresh_3_4_5,0,ancestral
126,NA,0.7630878970776238,7.996,NA,8.554,fresh_3,4,6,ambient,fresh,0,0.20933333333333337,cm9,corn,0,corn_modern,nd,2,1,2.211,4.01,2,8.777651918600576,0,19,2,NA,61.94444444444444,60.72222222222222,4.777777777777778,5.022222222222222,0.16666666666666666,3.5,fresh_3_4_6,0,modern
127,NA,NA,NA,NA,NA,fresh_3,4,7,ambient,fresh,0,0.20933333333333337,ca6,corn,20.75,corn_ancestral,utk,1,1,0.166,1.61,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_4_7,1,ancestral
128,NA,0.9750265540789639,0.081,NA,0.505,fresh_3,4,8,ambient,fresh,0,0.20933333333333337,b2,blackwater,10,blackwater,nd,1,1,0.707,2.69,1,0.026999999999999996,0,2,0,NA,15.25,15.25,1.35,1.65,0,1.5,fresh_3_4_8,0,modern
129,36.32687015,0.8872411160764521,1.857,NA,2.5140000000000002,fresh_3,5,1,ambient,fresh,0,0.1006666666666667,ca5,corn,18.75,corn_ancestral,utk,1,1,1.131,0.92,2,3.232,0,10,0,NA,58.65,56.5,3.7,4.13,0.1,3,fresh_3_5_1,0,ancestral
130,NA,0.9732928617577665,0.027,NA,0.109,fresh_3,5,2,ambient,fresh,0,0.1006666666666667,cm10,corn,0,corn_modern,nd,1,1,0.74,2.09,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_5_2,1,modern
131,NA,NA,NA,NA,NA,fresh_3,5,3,ambient,fresh,1,0.1006666666666667,cm2,corn,0,corn_modern,utk,1,1,2.141,1.78,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_5_3,1,modern
132,35.55804751,NA,1.792,0.187,2.617,fresh_3,5,4,ambient,fresh,1,0.1006666666666667,ca2,corn,18.75,corn_ancestral,utk,1,1,0.475,1.6,1,3.967,0,15,1,NA,51.96666666666667,48.43333333333333,3.6466666666666665,4.1066666666666665,0.06666666666666667,1.5,fresh_3_5_4,0,ancestral
133,37.57620697,NA,0.786,NA,1.071,fresh_3,5,5,ambient,fresh,0,0.1006666666666667,b4,blackwater,10,blackwater,nd,1,1,0.722,2.14,1,1.7009999999999998,0,11,0,NA,45.3,41.14,3.06,3.17,0,1.5,fresh_3_5_5,0,modern
134,NA,NA,NA,NA,NA,fresh_3,5,6,ambient,fresh,0,0.1006666666666667,km3,kirkpatrick,0,kirk_modern,utk,1,1,0.747,1.23,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_5_6,1,modern
135,NA,0.9567739536849958,0.068,NA,0.197,fresh_3,5,7,ambient,fresh,0,0.1006666666666667,ka5,kirkpatrick,20,kirk_ancestral,nd,1,1,0.914,2.04,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_5_7,1,ancestral
136,NA,NA,NA,NA,NA,fresh_3,5,8,ambient,fresh,1,0.1006666666666667,cm8,corn,0,corn_modern,nd,1,1,0.826,2.32,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_5_8,1,modern
137,NA,NA,NA,NA,NA,fresh_3,6,1,ambient,fresh,1,-0.0026666666666666367,cm9,corn,0,corn_modern,nd,1,1,0.544,2.52,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_1,1,modern
138,NA,NA,NA,NA,NA,fresh_3,6,2,ambient,fresh,0,-0.0026666666666666367,ca4,corn,20.75,corn_ancestral,utk,1,1,2.019,1.76,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_2,1,ancestral
139,NA,NA,NA,NA,NA,fresh_3,6,3,ambient,fresh,1,-0.0026666666666666367,ca6,corn,20.75,corn_ancestral,utk,1,1,1.022,2.15,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_3,1,ancestral
140,NA,NA,NA,NA,NA,fresh_3,6,4,ambient,fresh,0,-0.0026666666666666367,b3,blackwater,8,blackwater,nd,1,1,0.468,2.18,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_4,1,modern
141,NA,NA,NA,NA,NA,fresh_3,6,5,ambient,fresh,0,-0.0026666666666666367,km2,kirkpatrick,0,kirk_modern,utk,1,1,0.592,1.36,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_5,1,modern
142,NA,NA,NA,NA,NA,fresh_3,6,6,ambient,fresh,1,-0.0026666666666666367,cm1,corn,0,corn_modern,utk,1,1,0.771,1.3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_6,1,modern
143,NA,NA,NA,NA,NA,fresh_3,6,7,ambient,fresh,0,-0.0026666666666666367,cm4,corn,0,corn_modern,utk,3,2,0.179,1.37,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_7,1,modern
144,NA,NA,NA,NA,NA,fresh_3,6,8,ambient,fresh,0,-0.0026666666666666367,ca10,corn,16.75,corn_ancestral,nd,3,2,1.261,2.4,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_3_6_8,1,ancestral
145,NA,0.847740519978023,3.328,NA,3.976,fresh_4,1,1,ambient,fresh,0,0.49566666666666664,ka6,kirkpatrick,16,kirk_ancestral,utk,3,2,0.738,1.52,1,2.637,0,12,2,NA,42.333333333333336,41,3.0666666666666664,3.275,0.25,5.5,fresh_4_1_1,0,ancestral
146,NA,0.891659658985259,6.032,NA,8.372,fresh_4,1,2,ambient,fresh,0,0.49566666666666664,km6,kirkpatrick,0,kirk_modern,nd,1,1,2.074,4.44,2,5.279,0,15,1,NA,53.75,50.357142857142854,2.9714285714285715,3.3142857142857145,0.6428571428571429,7,fresh_4_1_2,0,modern
147,NA,0.9735228202144958,0.081,NA,3.661,fresh_4,1,3,ambient,fresh,0,0.49566666666666664,b1,blackwater,2,blackwater,nd,1,1,0.936,2.28,1,2.527,0,14,1,NA,43.57692307692308,42,2.953846153846154,3.246153846153846,0.23076923076923078,6.5,fresh_4_1_3,0,modern
148,NA,NA,3.641,0.256,8.538,fresh_4,1,4,ambient,fresh,1,0.49566666666666664,ca9,corn,14.25,corn_ancestral,nd,2,1,0.999,2.35,1,3.36,0.256,12,0,42,47.333333333333336,45.875,3.15,3.433333333333333,0.3333333333333333,6.5,fresh_4_1_4,0,ancestral
149,41.00387459,0.9306464663615032,4.666,NA,8.666,fresh_4,1,5,ambient,fresh,0,0.49566666666666664,cm2,corn,0,corn_modern,utk,2,1,1.508,1.61,1,3.479,0,11,1,NA,49.68181818181818,45.68181818181818,3.709090909090909,4.009090909090909,0.2727272727272727,5.5,fresh_4_1_5,0,modern
150,37.351967,0.9287522810089884,3.583,NA,6.648,fresh_4,1,6,ambient,fresh,0,0.49566666666666664,ca3,corn,18.75,corn_ancestral,utk,2,1,1.673,1.93,1,3.6479999999999997,0,17,1,NA,43.09375,41.21875,3.29375,3.63125,0.25,5.5,fresh_4_1_6,0,ancestral
151,37.48010411,NA,1.113,2.65,7.593,fresh_4,1,7,ambient,fresh,1,0.49566666666666664,ca10,corn,16.75,corn_ancestral,nd,2,1,1.034,2.23,1,1.281,7.088,7,1,63.5,46.666666666666664,45.083333333333336,2.9833333333333334,3.1833333333333336,0.5,6,fresh_4_1_7,0,ancestral
152,NA,NA,0.025,2.704,5.027,fresh_4,1,8,ambient,fresh,1,0.49566666666666664,cm10,corn,0,corn_modern,nd,3,2,0.999,2.64,1,0.035,5.189,0,1,72,NA,NA,NA,NA,NA,6,fresh_4_1_8,0,modern
153,36.77535002,NA,4.709,1.309,8.167,fresh_4,2,1,ambient,fresh,1,0.3956666666666666,cm9,corn,0,corn_modern,nd,1,1,1.193,3.42,1,3.795,1.996,15,2,55,45.96666666666667,45.6,3.06,3.453333333333333,0.4666666666666667,6,fresh_4_2_1,0,modern
154,30.36849461,0.8987638903734514,4.326,NA,6.388999999999999,fresh_4,2,2,ambient,fresh,0,0.3956666666666666,cm7,corn,0,corn_modern,utk,1,1,1.503,1.18,1,4.9399999999999995,0,15,4,NA,47.5,46.3,3.4,3.64,0.6666666666666666,6,fresh_4_2_2,0,modern
155,NA,0.9215054227734398,5.43,NA,9.376999999999999,fresh_4,2,3,ambient,fresh,0,0.3956666666666666,km5,kirkpatrick,extant,kirk_modern,nd,2,1,1.078,1.3,1,6.587,0,19,1,NA,54.11052631578947,52,3.663157894736842,3.9,0.10526315789473684,5.5,fresh_4_2_3,0,modern
156,40.55539472,0.8815668919189821,7.257,NA,9.677999999999999,fresh_4,2,4,ambient,fresh,0,0.3956666666666666,b2,blackwater,10,blackwater,nd,1,1,1.132,2.14,1,6.867000000000001,0,19,2,NA,44.6578947368421,43.973684210526315,4.073684210526316,4.505263157894737,0.21052631578947367,6,fresh_4_2_4,0,modern
157,NA,0.9208097611631272,6.771,NA,11.892,fresh_4,2,5,ambient,fresh,0,0.3956666666666666,ca6,corn,20.75,corn_ancestral,utk,1,1,0.877,1.78,1,5.89,0,19,2,NA,54.78947368421053,53.3421052631579,3.231578947368421,3.6157894736842104,0.15789473684210525,5.5,fresh_4_2_5,0,ancestral
158,NA,0.8981013827696565,6.546,NA,9.606,fresh_4,2,6,ambient,fresh,0,0.3956666666666666,ca8,corn,15,corn_ancestral,nd,2,1,2.248,3.04,1,6.568,0,21,1,NA,52.30952380952381,51.04761904761905,3.1714285714285717,3.761904761904762,0.3333333333333333,7,fresh_4_2_6,0,ancestral
159,NA,NA,6.076,0.509,10.727,fresh_4,2,7,ambient,fresh,1,0.3956666666666666,ca10,corn,16.75,corn_ancestral,nd,1,1,0.418,1.55,1,5.606,1.024,25,2,57,45.375,44.333333333333336,3.091666666666667,3.5791666666666666,0.20833333333333334,6.5,fresh_4_2_7,0,ancestral
160,NA,NA,NA,2.148,2.947,fresh_4,2,8,ambient,fresh,1,0.3956666666666666,cm1,corn,0,corn_modern,utk,1,1,0.367,1.84,1,0,4.802,0,0,86,NA,NA,NA,NA,NA,5.5,fresh_4_2_8,1,modern
161,NA,0.9046520253697813,1.472,NA,2.262,fresh_4,3,1,ambient,fresh,0,0.2863333333333333,ka6,kirkpatrick,16,kirk_ancestral,utk,1,1,0.554,2.59,1,2.377,0,8,1,NA,53.875,52.5,3.3874999999999997,3.525,0.5,6.5,fresh_4_3_1,0,ancestral
162,39.97877773,NA,9.404,0.817,14.912,fresh_4,3,2,ambient,fresh,1,0.2863333333333333,ca10,corn,16.75,corn_ancestral,nd,1,1,0.792,1.95,1,10.093,1.361,25,3,51.5,48.93478260869565,48.30434782608695,3.9869565217391303,4.682608695652174,0.17391304347826086,3.5,fresh_4_3_2,0,ancestral
163,NA,0.8631665158090858,10.18,NA,12.95,fresh_4,3,3,ambient,fresh,0,0.2863333333333333,b4,blackwater,10,blackwater,nd,1,1,0.919,1.97,1,8.645,0,27,2,NA,48.28846153846154,46.96153846153846,3.5961538461538463,4.165384615384616,0.07692307692307693,3.5,fresh_4_3_3,0,modern
164,34.64623272,0.8703124643609111,2.986,NA,3.9280000000000004,fresh_4,3,4,ambient,fresh,0,0.2863333333333333,cm1,corn,0,corn_modern,utk,2,1,0.983,2.34,1,5.539946644952764,0,11,1,NA,68.95,65.85,3.86,4.15,0.3,4.1,fresh_4_3_4,0,modern
165,NA,0.8943125553023337,5.097,NA,7.7410000000000005,fresh_4,3,5,ambient,fresh,0,0.2863333333333333,ca2,corn,18.75,corn_ancestral,utk,1,1,1.16,1.04,1,14.199333942765412,0,24,2,NA,62.06,60.54,4.048,4.672,0.48,4,fresh_4_3_5,0,ancestral
166,NA,NA,5.686,0.128,7.78,fresh_4,3,6,ambient,fresh,1,0.2863333333333333,cm8,corn,0,corn_modern,nd,1,1,0.733,2.5,1,5.773,0.4,21,2,44.5,52.26190476190476,50.88095238095238,3.3,3.7095238095238097,0.19047619047619047,3.5,fresh_4_3_6,0,modern
167,NA,0.9384242185508562,0.798,NA,1.467,fresh_4,3,7,ambient,fresh,0,0.2863333333333333,km3,kirkpatrick,0,kirk_modern,utk,3,2,1.068,1.36,1,0.9089999999999999,0,7,0,NA,37.714285714285715,37.214285714285715,2.057142857142857,2.1285714285714286,0,4,fresh_4_3_7,0,modern
168,30.71310446,NA,5.036,0.099,8.427,fresh_4,3,8,ambient,fresh,1,0.2863333333333333,cm6,corn,0,corn_modern,utk,2,1,1.267,1.51,1,6.533,0.093,26,4,26,48.86538461538461,45.48076923076923,3.4615384615384617,3.7807692307692307,0.38461538461538464,3.5,fresh_4_3_8,0,modern
169,35.28247407,NA,3.707,0.117,5.087,fresh_4,4,1,ambient,fresh,1,0.1836666666666666,cm2,corn,0,corn_modern,utk,2,1,0.64,1.41,1,4.07,0,12,0,NA,59.25,55.166666666666664,4.216666666666667,4.65,0.3333333333333333,3.5,fresh_4_4_1,0,modern
170,NA,0.7992650897337492,3.722,NA,4.121,fresh_4,4,2,ambient,fresh,0,0.1836666666666666,ca1,corn,20.75,corn_ancestral,utk,2,1,1.92,1.41,1,4.010357840117566,0,18,2,NA,48.970588235294116,47.470588235294116,3.8823529411764706,4.352941176470588,0.058823529411764705,2.5,fresh_4_4_2,0,ancestral
171,NA,0.8429355397390841,5.197,NA,6.298,fresh_4,4,3,ambient,fresh,0,0.1836666666666666,ka3,kirkpatrick,14,kirk_ancestral,utk,2,1,2.402,1.65,2,5.355,0,13,4,NA,56.76923076923077,55.57692307692308,4.1,4.346153846153846,0.15384615384615385,2,fresh_4_4_3,0,ancestral
172,NA,0.8388540926324974,12.13,NA,14.335,fresh_4,4,4,ambient,fresh,0,0.1836666666666666,km1,kirkpatrick,0,kirk_modern,utk,1,1,2.242,1.74,1,10.792,0,26,7,NA,52.51923076923077,51.73076923076923,3.964,4.276923076923077,0.07692307692307693,1,fresh_4_4_4,0,modern
173,NA,NA,5.716,0.118,6.856,fresh_4,4,5,ambient,fresh,1,0.1836666666666666,cm9,corn,0,corn_modern,nd,1,1,1.3,3.59,2,7.138,0.071,23,2,20.5,51.93478260869565,50.04347826086956,3.6043478260869564,4.108695652173913,0.17391304347826086,1.5,fresh_4_4_5,0,modern
174,41.12432633,0.8578594644621806,9.529,NA,11.955,fresh_4,4,6,ambient,fresh,0,0.1836666666666666,cm5,corn,0,corn_modern,utk,1,1,1.33,1.72,1,10.420967411392812,0,32,2,NA,54.61290322580645,52,3.9741935483870967,4.409677419354839,0.22580645161290322,1,fresh_4_4_6,0,modern
175,NA,NA,3.83,0.132,4.8870000000000005,fresh_4,4,7,ambient,fresh,1,0.1836666666666666,ca4,corn,20.75,corn_ancestral,utk,3,2,0.964,1.93,1,4.441,0.356,12,4,30,58.041666666666664,56.166666666666664,3.75,4.408333333333333,0.16666666666666666,2.5,fresh_4_4_7,0,ancestral
176,NA,0.8925579520395347,4.106,NA,6.05,fresh_4,4,8,ambient,fresh,0,0.1836666666666666,ca5,corn,18.75,corn_ancestral,utk,1,1,2.902,1.88,1,12.54013109269258,0,22,2,NA,49.6,45.54761904761905,4.642857142857143,5.238095238095238,0.19047619047619047,2.5,fresh_4_4_8,0,ancestral
177,NA,NA,NA,NA,NA,fresh_4,5,1,ambient,fresh,0,0.07299999999999993,ca4,corn,20.75,corn_ancestral,utk,1,1,0.909,1.44,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_4_5_1,1,ancestral
