pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
77,km4,kirkpatrick,modern,0.20966666666666667,fresh,elevated,0,15.244000000000002,13.875
78,ca4,corn,ancestral,0.20966666666666667,fresh,elevated,1,6.101999999999999,6.476
79,cm4,corn,modern,0.20966666666666667,fresh,elevated,1,5.628,6.312
80,cm2,corn,modern,0.20966666666666667,fresh,elevated,0,7.283334759186548,7.902
81,km4,kirkpatrick,modern,0.09899999999999999,fresh,elevated,0,0,0.398
82,ca9,corn,ancestral,0.09899999999999999,fresh,elevated,1,0,NA
83,ca4,corn,ancestral,0.09899999999999999,fresh,elevated,0,0,NA
84,ca10,corn,ancestral,0.09899999999999999,fresh,elevated,0,0,NA
85,cm10,corn,modern,0.09899999999999999,fresh,elevated,0,0,0.16
86,cm3,corn,modern,0.09899999999999999,fresh,elevated,1,0,NA
87,b1,blackwater,modern,0.09899999999999999,fresh,elevated,0,3.734,2.928
88,cm6,corn,modern,0.09899999999999999,fresh,elevated,1,4.131,3.285
89,ca8,corn,ancestral,-0.001333333333333353,fresh,elevated,1,0,NA
90,b2,blackwater,modern,-0.001333333333333353,fresh,elevated,0,0,NA
91,cm10,corn,modern,-0.001333333333333353,fresh,elevated,1,0,NA
92,ca3,corn,ancestral,-0.001333333333333353,fresh,elevated,0,0,NA
93,cm9,corn,modern,-0.001333333333333353,fresh,elevated,0,0,NA
94,ka2,kirkpatrick,ancestral,-0.001333333333333353,fresh,elevated,0,0,NA
95,ca1,corn,ancestral,-0.001333333333333353,fresh,elevated,1,0,0.178
96,cm4,corn,modern,-0.001333333333333353,fresh,elevated,0,0,NA
97,km4,kirkpatrick,modern,0.526,fresh,ambient,0,2.405,5.06
98,cm8,corn,modern,0.526,fresh,ambient,0,1.186,5.5520000000000005
99,cm7,corn,modern,0.526,fresh,ambient,0,1.4549999999999998,5.332
100,ca2,corn,ancestral,0.526,fresh,ambient,1,2.083,9.055
101,cm4,corn,modern,0.526,fresh,ambient,1,0.01,6.111
102,ca5,corn,ancestral,0.526,fresh,ambient,0,3.591,6.718999999999999
103,ka3,kirkpatrick,ancestral,0.526,fresh,ambient,0,2.412,9.456
104,ca8,corn,ancestral,0.526,fresh,ambient,1,2.33,8.438
105,ka1,kirkpatrick,ancestral,0.4116666666666667,fresh,ambient,0,1.546,1.635
