pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
337,ka4,kirkpatrick,ancestral,0.5316666666666666,salt,ambient,0,3.2689999999999997,6.8999999999999995
338,km2,kirkpatrick,modern,0.5316666666666666,salt,ambient,0,2.5370000000000004,4.1499999999999995
339,cm5,corn,modern,0.5316666666666666,salt,ambient,0,5,12.096
340,ca4,corn,ancestral,0.5316666666666666,salt,ambient,0,2.366,5.367
341,ca4,corn,ancestral,0.5316666666666666,salt,ambient,1,1.0070000000000001,5.236
342,ca1,corn,ancestral,0.5316666666666666,salt,ambient,0,3.0290000000000004,6.026999999999999
343,cm2,corn,modern,0.5316666666666666,salt,ambient,1,0.524,8.842
344,cm9,corn,modern,0.5316666666666666,salt,ambient,1,0.031,6.736
345,ca2,corn,ancestral,0.4283333333333333,salt,ambient,1,2.7680000000000002,8.719
346,ca10,corn,ancestral,0.4283333333333333,salt,ambient,1,1.4100000000000001,6.538
347,ca5,corn,ancestral,0.4283333333333333,salt,ambient,0,4.551,7.018
348,cm6,corn,modern,0.4283333333333333,salt,ambient,1,4.401,9.619
349,km3,kirkpatrick,modern,0.4283333333333333,salt,ambient,0,8.501,13.339
350,cm2,corn,modern,0.4283333333333333,salt,ambient,0,3.7640000000000002,9.368
351,ka3,kirkpatrick,ancestral,0.4283333333333333,salt,ambient,0,1.2469999999999999,1.367
352,cm8,corn,modern,0.4283333333333333,salt,ambient,0,1.2329999999999999,2.199
353,cm3,corn,modern,0.29599999999999993,salt,ambient,1,5.878,8.707
354,ca1,corn,ancestral,0.29599999999999993,salt,ambient,0,3.8441249200756946,6.854
355,ka5,kirkpatrick,ancestral,0.29599999999999993,salt,ambient,0,7.432,9.861
356,km6,kirkpatrick,modern,0.29599999999999993,salt,ambient,0,7.573,7.332
357,cm6,corn,modern,0.29599999999999993,salt,ambient,0,6.468220083724609,10.201
358,ca10,corn,ancestral,0.29599999999999993,salt,ambient,0,6.033930632790232,10.600999999999999
359,cm10,corn,modern,0.29599999999999993,salt,ambient,1,5.74,9.395
360,ca7,corn,ancestral,0.29599999999999993,salt,ambient,1,4.8549999999999995,8.955
361,cm10,corn,modern,0.18433333333333327,salt,ambient,0,0,NA
362,ca7,corn,ancestral,0.18433333333333327,salt,ambient,1,2.355,1.91
363,cm7,corn,modern,0.18433333333333327,salt,ambient,1,1.812,1.441
364,ca3,corn,ancestral,0.18433333333333327,salt,ambient,1,7.0409999999999995,6.144
365,ka1,kirkpatrick,ancestral,0.18433333333333327,salt,ambient,0,0.6849999999999999,0.582
366,b1,blackwater,modern,0.18433333333333327,salt,ambient,0,4.59,3.49
367,cm1,corn,modern,0.18433333333333327,salt,ambient,0,4.5700812392146855,4.51
368,ca4,corn,ancestral,0.18433333333333327,salt,ambient,0,4.998879995202814,6.4079999999999995
369,ca9,corn,ancestral,0.0806666666666666,salt,ambient,1,0,NA
370,km1,kirkpatrick,modern,0.0806666666666666,salt,ambient,0,0.91,0.749
371,cm4,corn,modern,0.0806666666666666,salt,ambient,1,0,NA
372,cm1,corn,modern,0.0806666666666666,salt,ambient,0,0,NA
373,b4,blackwater,modern,0.0806666666666666,salt,ambient,0,0,NA
374,cm8,corn,modern,0.0806666666666666,salt,ambient,0,0,NA
375,ca2,corn,ancestral,0.0806666666666666,salt,ambient,0,4.321,3.3120000000000003
376,ka2,kirkpatrick,ancestral,0.0806666666666666,salt,ambient,0,0,NA
377,cm4,corn,modern,-0.04266666666666674,salt,ambient,0,0,NA
378,b2,blackwater,modern,-0.04266666666666674,salt,ambient,0,0,NA
379,cm7,corn,modern,-0.04266666666666674,salt,ambient,0,0,NA
380,ca4,corn,ancestral,-0.04266666666666674,salt,ambient,1,0,NA
381,cm6,corn,modern,-0.04266666666666674,salt,ambient,0,0,NA
382,ca3,corn,ancestral,-0.04266666666666674,salt,ambient,1,0,NA
383,ca6,corn,ancestral,-0.04266666666666674,salt,ambient,1,0,NA
384,cm10,corn,modern,-0.04266666666666674,salt,ambient,0,0,NA
385,cm1,corn,modern,0.518,salt,elevated,0,1.306,2.08
386,ka1,kirkpatrick,ancestral,0.518,salt,elevated,0,1.288,1.6320000000000001
387,ca8,corn,ancestral,0.518,salt,elevated,1,1.416,5.43
388,cm9,corn,modern,0.518,salt,elevated,0,4.901,9.870000000000001
389,cm5,corn,modern,0.518,salt,elevated,1,2.098,11.622
390,ca5,corn,ancestral,0.518,salt,elevated,0,2.682,6.976999999999999
391,ca1,corn,ancestral,0.518,salt,elevated,1,0.779,4.267
392,b3,blackwater,modern,0.518,salt,elevated,0,3.387,8.975
393,ca10,corn,ancestral,0.41500000000000004,salt,elevated,0,0,NA
394,cm2,corn,modern,0.41500000000000004,salt,elevated,1,4.726,12.408000000000001
395,b2,blackwater,modern,0.41500000000000004,salt,elevated,0,3.145,6.501
396,ca2,corn,ancestral,0.41500000000000004,salt,elevated,0,4.318,10.445
397,ca6,corn,ancestral,0.41500000000000004,salt,elevated,1,4.918,12.061
398,km4,kirkpatrick,modern,0.41500000000000004,salt,elevated,0,3.24,4.841
399,cm10,corn,modern,0.41500000000000004,salt,elevated,1,0.994,5.372999999999999
400,cm6,corn,modern,0.41500000000000004,salt,elevated,0,4.890000000000001,6.477
401,cm5,corn,modern,0.29133333333333333,salt,elevated,0,6.331166663867616,11.296999999999999
402,km3,kirkpatrick,modern,0.29133333333333333,salt,elevated,0,7.075,11.647
403,cm4,corn,modern,0.29133333333333333,salt,elevated,1,3.6769999999999996,5.465
404,ca3,corn,ancestral,0.29133333333333333,salt,elevated,1,3.4619999999999997,5.203
405,ca10,corn,ancestral,0.29133333333333333,salt,elevated,1,6.635999999999999,10.626
406,ka2,kirkpatrick,ancestral,0.29133333333333333,salt,elevated,0,8.122,10.562
407,cm3,corn,modern,0.29133333333333333,salt,elevated,0,5.656724911183681,10.957
408,ca7,corn,ancestral,0.29133333333333333,salt,elevated,0,6.695269976180744,10.053
409,km5,kirkpatrick,modern,0.18133333333333335,salt,elevated,0,0,NA
410,ca4,corn,ancestral,0.18133333333333335,salt,elevated,0,5.1774319478556,6.175000000000001
411,ca1,corn,ancestral,0.18133333333333335,salt,elevated,0,0,NA
412,cm8,corn,modern,0.18133333333333335,salt,elevated,1,3.607,2.928
413,cm3,corn,modern,0.18133333333333335,salt,elevated,1,8.276,7.407
414,ka6,kirkpatrick,ancestral,0.18133333333333335,salt,elevated,0,10.395999999999999,12.771
415,cm6,corn,modern,0.18133333333333335,salt,elevated,0,10.255747825396927,8.811
416,ca7,corn,ancestral,0.18133333333333335,salt,elevated,1,11.347000000000001,13.922
1617,cm4,corn,modern,0.056333333333333346,salt,elevated,0,3.863,3.052
1618,cm8,corn,modern,0.056333333333333346,salt,elevated,1,0,NA
1619,ca8,corn,ancestral,0.056333333333333346,salt,elevated,1,0,NA
1620,km1,kirkpatrick,modern,0.056333333333333346,salt,elevated,0,0,NA
1621,b1,blackwater,modern,0.056333333333333346,salt,elevated,0,3.8499999999999996,2.5109999999999997
1622,ca4,corn,ancestral,0.056333333333333346,salt,elevated,1,0.992,0.507
1623,ka4,kirkpatrick,ancestral,0.056333333333333346,salt,elevated,0,0,NA
1624,ca6,corn,ancestral,0.056333333333333346,salt,elevated,0,7.696000000000001,8.804
1625,ca5,corn,ancestral,-0.06266666666666666,salt,elevated,1,0,NA
1626,km3,kirkpatrick,modern,-0.06266666666666666,salt,elevated,0,0,NA
1627,ca2,corn,ancestral,-0.06266666666666666,salt,elevated,0,0,NA
1628,cm5,corn,modern,-0.06266666666666666,salt,elevated,1,0,NA
1629,cm8,corn,modern,-0.06266666666666666,salt,elevated,0,0,NA
1630,b4,blackwater,modern,-0.06266666666666666,salt,elevated,0,0,NA
1631,ka5,kirkpatrick,ancestral,-0.06266666666666666,salt,elevated,0,0,NA
1632,cm2,corn,modern,-0.06266666666666666,salt,elevated,0,0,NA
1633,ca10,corn,ancestral,0.526,salt,ambient,1,0,3.1590000000000003
1634,ca3,corn,ancestral,0.526,salt,ambient,1,1.539,9.799
1635,cm1,corn,modern,0.526,salt,ambient,0,3.734,5.797
1636,cm10,corn,modern,0.526,salt,ambient,1,0.029,2.703
1637,ka5,kirkpatrick,ancestral,0.526,salt,ambient,0,1.4460000000000002,3.258
1638,ca10,corn,ancestral,0.526,salt,ambient,0,1.307,2.625
1639,cm7,corn,modern,0.526,salt,ambient,0,0.9099999999999999,2.5060000000000002
1640,km5,kirkpatrick,modern,0.526,salt,ambient,0,2.162,6.548
1641,cm9,corn,modern,0.41433333333333333,salt,ambient,1,6.555000000000001,12.327
1642,ca1,corn,ancestral,0.41433333333333333,salt,ambient,0,2.902,7.279999999999999
1643,cm5,corn,modern,0.41433333333333333,salt,ambient,0,4.373,7.869
1644,ca8,corn,ancestral,0.41433333333333333,salt,ambient,1,3.573,6.898
1645,cm2,corn,modern,0.41433333333333333,salt,ambient,1,3.0749999999999997,6.969
1646,b4,blackwater,modern,0.41433333333333333,salt,ambient,0,2.375,4.5280000000000005
1647,ka2,kirkpatrick,ancestral,0.41433333333333333,salt,ambient,0,4.306,5.976
1648,ca10,corn,ancestral,0.41433333333333333,salt,ambient,0,3.359,7.475
1649,ca4,corn,ancestral,0.2945,salt,ambient,1,4.077,5.666
1650,km2,kirkpatrick,modern,0.2945,salt,ambient,0,8.388,12.44
1651,cm8,corn,modern,0.2945,salt,ambient,1,0,2.18
1652,b1,blackwater,modern,0.2945,salt,ambient,0,6.4430000000000005,9.442
1653,ca5,corn,ancestral,0.2945,salt,ambient,0,6.830712738661172,11.079
1654,cm1,corn,modern,0.2945,salt,ambient,0,6.222789065390584,9.357
1655,ca2,corn,ancestral,0.2945,salt,ambient,1,6.052,10.828
1656,ka1,kirkpatrick,ancestral,0.2945,salt,ambient,0,4.2620000000000005,5.271999999999999
1657,cm4,corn,modern,0.18316666666666664,salt,ambient,1,4.348000000000001,5.217
1658,cm8,corn,modern,0.18316666666666664,salt,ambient,1,1.107,0.987
1659,cm3,corn,modern,0.18316666666666664,salt,ambient,0,4.740466403727887,3.641
1660,km3,kirkpatrick,modern,0.18316666666666664,salt,ambient,0,3.847,2.474
1661,cm6,corn,modern,0.18316666666666664,salt,ambient,0,8.996387490733722,6.7669999999999995
1662,b3,blackwater,modern,0.18316666666666664,salt,ambient,0,5.9079999999999995,3.302
1663,ca4,corn,ancestral,0.18316666666666664,salt,ambient,1,5.125,5.026
1664,ca2,corn,ancestral,0.18316666666666664,salt,ambient,0,8.460132964325748,7.768
1665,ca6,corn,ancestral,0.05749999999999997,salt,ambient,1,5.836,5.465
1666,cm7,corn,modern,0.05749999999999997,salt,ambient,1,0,NA
1667,ca10,corn,ancestral,0.05749999999999997,salt,ambient,1,0,NA
1668,km6,kirkpatrick,modern,0.05749999999999997,salt,ambient,0,0,NA
1669,ca5,corn,ancestral,0.05749999999999997,salt,ambient,0,0,NA
1670,ka4,kirkpatrick,ancestral,0.05749999999999997,salt,ambient,0,0,NA
1671,cm3,corn,modern,0.05749999999999997,salt,ambient,0,0,NA
1672,cm9,corn,modern,0.05749999999999997,salt,ambient,0,0,NA
1673,ca4,corn,ancestral,-0.0611666666666667,salt,ambient,1,0,NA
1674,ca10,corn,ancestral,-0.0611666666666667,salt,ambient,0,0,NA
1675,cm4,corn,modern,-0.0611666666666667,salt,ambient,1,0,NA
1676,km1,kirkpatrick,modern,-0.0611666666666667,salt,ambient,0,0,NA
1677,cm4,corn,modern,-0.0611666666666667,salt,ambient,1,0,NA
1678,ka5,kirkpatrick,ancestral,-0.0611666666666667,salt,ambient,0,0,NA
1679,ca1,corn,ancestral,-0.0611666666666667,salt,ambient,0,0,NA
1680,cm5,corn,modern,-0.0611666666666667,salt,ambient,0,0,NA
1681,cm4,corn,modern,0.516,salt,elevated,1,2.392,7.846
1682,ca6,corn,ancestral,0.516,salt,elevated,1,1.9369999999999998,8.398
1683,ka2,kirkpatrick,ancestral,0.516,salt,elevated,1,5.662000000000001,13.451
1684,cm3,corn,modern,0.516,salt,elevated,0,2.9650000000000003,6.392
1685,cm7,corn,modern,0.516,salt,elevated,0,1.175,2.363
1686,km3,kirkpatrick,modern,0.516,salt,elevated,0,5.415,9.099
1687,b2,blackwater,modern,0.516,salt,elevated,0,4.005,6.9910000000000005
1688,ca2,corn,ancestral,0.516,salt,elevated,0,4.898,14.609
1689,ca5,corn,ancestral,0.4088333333333334,salt,elevated,0,6.703,12.394
1690,cm10,corn,modern,0.4088333333333334,salt,elevated,0,2.612,2.7560000000000002
1691,cm5,corn,modern,0.4088333333333334,salt,elevated,0,5.083,9.886
1692,ca7,corn,ancestral,0.4088333333333334,salt,elevated,1,3.1310000000000002,7.987
1693,b2,blackwater,modern,0.4088333333333334,salt,elevated,0,2.439,2.963
1694,ca1,corn,ancestral,0.4088333333333334,salt,elevated,1,5.947,6.42
1695,km2,kirkpatrick,modern,0.4088333333333334,salt,elevated,0,8.142999999999999,12.622
1696,ka1,kirkpatrick,ancestral,0.4088333333333334,salt,elevated,0,0,NA
1697,ca4,corn,ancestral,0.2871666666666667,salt,elevated,1,1.127,2.605
1698,ka4,kirkpatrick,ancestral,0.2871666666666667,salt,elevated,0,7.809,13.408999999999999
1699,b3,blackwater,modern,0.2871666666666667,salt,elevated,0,7.748,10.805000000000001
1700,ca4,corn,ancestral,0.2871666666666667,salt,elevated,0,8.005502665766347,NA
1801,ca10,corn,ancestral,0.2871666666666667,salt,elevated,0,2.6544279105343427,2.589
1802,cm8,corn,modern,0.2871666666666667,salt,elevated,0,6.571682193118171,12.385
1803,cm2,corn,modern,0.2871666666666667,salt,elevated,1,0,3.4290000000000003
1804,cm9,corn,modern,0.2871666666666667,salt,elevated,1,7.386,11.895000000000001
1805,km1,kirkpatrick,modern,0.1761666666666667,salt,elevated,0,3.018,3.0429999999999997
1806,ca3,corn,ancestral,0.1761666666666667,salt,elevated,0,9.731856244968519,8.68
1807,ca2,corn,ancestral,0.1761666666666667,salt,elevated,1,5.622,7.035
1808,b2,blackwater,modern,0.1761666666666667,salt,elevated,0,8.369,9.29
1809,cm10,corn,modern,0.1761666666666667,salt,elevated,0,0,NA
1810,ca5,corn,ancestral,0.1761666666666667,salt,elevated,1,8.482000000000001,8.217
1811,cm2,corn,modern,0.1761666666666667,salt,elevated,0,7.940334759186548,10.161999999999999
1812,cm5,corn,modern,0.1761666666666667,salt,elevated,1,2.642,2.3770000000000002
1813,cm6,corn,modern,0.06950000000000003,salt,elevated,0,6.625,4.693
1814,ca3,corn,ancestral,0.06950000000000003,salt,elevated,0,0,NA
1815,cm1,corn,modern,0.06950000000000003,salt,elevated,1,3.348,2.6260000000000003
1816,km2,kirkpatrick,modern,0.06950000000000003,salt,elevated,0,4.234,2.999
1817,ca9,corn,ancestral,0.06950000000000003,salt,elevated,0,0,NA
1818,ca7,corn,ancestral,0.06950000000000003,salt,elevated,1,7.035,5.869
1819,ka5,kirkpatrick,ancestral,0.06950000000000003,salt,elevated,0,0,NA
1820,cm9,corn,modern,0.06950000000000003,salt,elevated,1,0,NA
1821,b2,blackwater,modern,-0.043833333333333294,salt,elevated,0,0,NA
1822,cm7,corn,modern,-0.043833333333333294,salt,elevated,1,0,NA
1823,cm10,corn,modern,-0.043833333333333294,salt,elevated,0,0,NA
1824,cm4,corn,modern,-0.043833333333333294,salt,elevated,0,0,NA
1825,ca10,corn,ancestral,-0.043833333333333294,salt,elevated,1,0,NA
1826,ca4,corn,ancestral,-0.043833333333333294,salt,elevated,0,0,NA
1827,ca10,corn,ancestral,-0.043833333333333294,salt,elevated,1,0,NA
1828,ka3,kirkpatrick,ancestral,-0.043833333333333294,salt,elevated,0,0,NA
1829,cm8,corn,modern,0.5263333333333333,salt,elevated,0,0,NA
1830,ca7,corn,ancestral,0.5263333333333333,salt,elevated,0,0.721,1.239
1831,km6,kirkpatrick,modern,0.5263333333333333,salt,elevated,0,0,NA
1832,cm10,corn,modern,0.5263333333333333,salt,elevated,0,2.993,9.693
1833,cm6,corn,modern,0.5263333333333333,salt,elevated,1,0.4,7.287
1834,ca3,corn,ancestral,0.5263333333333333,salt,elevated,1,1.181,6.013
1835,ka5,kirkpatrick,ancestral,0.5263333333333333,salt,elevated,0,4.0200000000000005,13.49
1836,ca4,corn,ancestral,0.5263333333333333,salt,elevated,1,0.569,6.367
1837,ca10,corn,ancestral,0.4106666666666666,salt,elevated,0,3.9120000000000004,9.706
1838,km5,kirkpatrick,modern,0.4106666666666666,salt,elevated,0,2.632,6.275
1839,cm7,corn,modern,0.4106666666666666,salt,elevated,0,2.678,5.644
1840,ca4,corn,ancestral,0.4106666666666666,salt,elevated,0,4.912,12.908000000000001
1841,cm8,corn,modern,0.4106666666666666,salt,elevated,1,1.8199999999999998,5.534
1842,ka6,kirkpatrick,ancestral,0.4106666666666666,salt,elevated,0,5.502,9.652999999999999
1843,ca8,corn,ancestral,0.4106666666666666,salt,elevated,1,3.677,7.591
1844,cm4,corn,modern,0.4106666666666666,salt,elevated,1,2.052,8.354
1845,km6,kirkpatrick,modern,0.2756666666666666,salt,elevated,0,8.674,10.671
1846,b2,blackwater,modern,0.2756666666666666,salt,elevated,0,6.263,8.704
1847,ca1,corn,ancestral,0.2756666666666666,salt,elevated,1,5.529000000000001,13.664
1848,ka6,kirkpatrick,ancestral,0.2756666666666666,salt,elevated,0,5.64,8.098
1849,cm4,corn,modern,0.2756666666666666,salt,elevated,0,5.13715501180797,10.658999999999999
1850,cm4,corn,modern,0.2756666666666666,salt,elevated,1,0.6880000000000001,4.727
1851,ca5,corn,ancestral,0.2756666666666666,salt,elevated,0,10.411232079255262,14.503
1852,ca2,corn,ancestral,0.2756666666666666,salt,elevated,1,11.56,20.89
1853,cm1,corn,modern,0.15633333333333327,salt,elevated,0,3.433417341337586,4.2219999999999995
1854,ca6,corn,ancestral,0.15633333333333327,salt,elevated,1,0,NA
1855,ca10,corn,ancestral,0.15633333333333327,salt,elevated,0,0,NA
1856,ka2,kirkpatrick,ancestral,0.15633333333333327,salt,elevated,0,7.501,5.998
1857,km3,kirkpatrick,modern,0.15633333333333327,salt,elevated,0,0,NA
1858,cm10,corn,modern,0.15633333333333327,salt,elevated,1,0,NA
1859,cm7,corn,modern,0.15633333333333327,salt,elevated,0,0,NA
1860,ca4,corn,ancestral,0.15633333333333327,salt,elevated,0,9.915336586216004,10.964
1861,km3,kirkpatrick,modern,0.026333333333333264,salt,elevated,0,0,NA
1862,ca5,corn,ancestral,0.026333333333333264,salt,elevated,0,0,NA
1863,cm3,corn,modern,0.026333333333333264,salt,elevated,0,0,0.069
1864,cm4,corn,modern,0.026333333333333264,salt,elevated,1,0,NA
1865,cm10,corn,modern,0.026333333333333264,salt,elevated,0,0,NA
1866,ca1,corn,ancestral,0.026333333333333264,salt,elevated,1,0,NA
1867,ca10,corn,ancestral,0.026333333333333264,salt,elevated,1,0,NA
1868,b3,blackwater,modern,0.026333333333333264,salt,elevated,0,0,NA
1869,cm6,corn,modern,-0.08266666666666674,salt,elevated,0,0,NA
1870,ka4,kirkpatrick,ancestral,-0.08266666666666674,salt,elevated,0,0,NA
1871,cm10,corn,modern,-0.08266666666666674,salt,elevated,1,0,NA
1872,ca4,corn,ancestral,-0.08266666666666674,salt,elevated,0,0,NA
1873,cm3,corn,modern,-0.08266666666666674,salt,elevated,1,0,NA
1874,b1,blackwater,modern,-0.08266666666666674,salt,elevated,0,0,NA
1875,ca3,corn,ancestral,-0.08266666666666674,salt,elevated,0,0.108,0.865
1876,ca6,corn,ancestral,-0.08266666666666674,salt,elevated,1,0,NA
1877,km3,kirkpatrick,modern,0.5443333333333333,salt,ambient,0,3.979,7.16
1878,cm10,corn,modern,0.5443333333333333,salt,ambient,0,0,NA
1879,cm1,corn,modern,0.5443333333333333,salt,ambient,1,1.883,5.632
1880,b2,blackwater,modern,0.5443333333333333,salt,ambient,0,2.177,3.95
1881,cm4,corn,modern,0.5443333333333333,salt,ambient,1,0.356,8.072
1882,ca4,corn,ancestral,0.5443333333333333,salt,ambient,1,0.281,5.636
1883,ka5,kirkpatrick,ancestral,0.5443333333333333,salt,ambient,0,0,NA
1884,ca6,corn,ancestral,0.5443333333333333,salt,ambient,0,1.751,4.862
1885,ca7,corn,ancestral,0.43666666666666665,salt,ambient,1,1.916,NA
1886,cm4,corn,modern,0.43666666666666665,salt,ambient,0,2.4050000000000002,6.62
1887,ca10,corn,ancestral,0.43666666666666665,salt,ambient,0,5.1819999999999995,9.633
1888,ka5,kirkpatrick,ancestral,0.43666666666666665,salt,ambient,0,3.878,9.734
1889,km4,kirkpatrick,modern,0.43666666666666665,salt,ambient,0,4.993,10.172
1890,cm3,corn,modern,0.43666666666666665,salt,ambient,1,1.8439999999999999,2.745
1891,ca4,corn,ancestral,0.43666666666666665,salt,ambient,0,2.006,5.807
1892,cm5,corn,modern,0.43666666666666665,salt,ambient,1,1.649,6.109
1893,km1,kirkpatrick,modern,0.29866666666666664,salt,ambient,0,0,NA
1894,cm7,corn,modern,0.29866666666666664,salt,ambient,0,2.521976854126786,3.755
1895,cm5,corn,modern,0.29866666666666664,salt,ambient,1,5.497,7.053
1896,ca3,corn,ancestral,0.29866666666666664,salt,ambient,1,3.5789999999999997,9.205
1897,ca9,corn,ancestral,0.29866666666666664,salt,ambient,1,0.855,3.9280000000000004
1898,cm4,corn,modern,0.29866666666666664,salt,ambient,0,4.875989559312742,7.267
1899,ca6,corn,ancestral,0.29866666666666664,salt,ambient,0,6.071873897720315,9.49
1930,ka4,kirkpatrick,ancestral,0.29866666666666664,salt,ambient,0,8.26,14.84
1931,cm3,corn,modern,0.1853333333333333,salt,ambient,1,0.48500000000000004,0.5619999999999999
1932,cm6,corn,modern,0.1853333333333333,salt,ambient,0,3.748231011348012,3.78
1933,cm2,corn,modern,0.1853333333333333,salt,ambient,1,7.122999999999999,5.957999999999999
1934,b4,blackwater,modern,0.1853333333333333,salt,ambient,0,0.821,1.4669999999999999
1935,ca5,corn,ancestral,0.1853333333333333,salt,ambient,1,7.932,9.578
1936,ca1,corn,ancestral,0.1853333333333333,salt,ambient,0,0.047,0.371
1937,km6,kirkpatrick,modern,0.1853333333333333,salt,ambient,0,10.32,9.011
1938,ca10,corn,ancestral,0.1853333333333333,salt,ambient,0,5.479196379070829,4.939
1939,km2,kirkpatrick,modern,0.06733333333333329,salt,ambient,0,0,0.155
1940,ca1,corn,ancestral,0.06733333333333329,salt,ambient,1,0,NA
1941,cm6,corn,modern,0.06733333333333329,salt,ambient,0,0,NA
1942,cm3,corn,modern,0.06733333333333329,salt,ambient,0,0,NA
1943,ca7,corn,ancestral,0.06733333333333329,salt,ambient,1,0,NA
1944,cm5,corn,modern,0.06733333333333329,salt,ambient,1,0.767,1.865
1945,ka6,kirkpatrick,ancestral,-0.042333333333333376,salt,ambient,0,0,NA
1946,ca8,corn,ancestral,-0.042333333333333376,salt,ambient,0,0,NA
1947,b3,blackwater,modern,-0.042333333333333376,salt,ambient,0,0,NA
1948,cm2,corn,modern,-0.042333333333333376,salt,ambient,1,0,NA
1949,cm9,corn,modern,-0.042333333333333376,salt,ambient,0,0,NA
1950,ca3,corn,ancestral,-0.042333333333333376,salt,ambient,0,0,NA
1951,km5,kirkpatrick,modern,-0.042333333333333376,salt,ambient,0,0,NA
1952,ca5,corn,ancestral,-0.042333333333333376,salt,ambient,1,0,NA
1953,ca10,corn,ancestral,0.5076666666666667,salt,ambient,0,4.704,12.681000000000001
1954,cm3,corn,modern,0.5076666666666667,salt,ambient,1,1.2049999999999998,4.9159999999999995
1955,cm4,corn,modern,0.5076666666666667,salt,ambient,0,0.592,1.254
1956,km1,kirkpatrick,modern,0.5076666666666667,salt,ambient,0,4.541,10.053
1957,ca7,corn,ancestral,0.5076666666666667,salt,ambient,1,2.984,8.234
1958,b2,blackwater,modern,0.5076666666666667,salt,ambient,0,0,NA
1959,ca5,corn,ancestral,0.5076666666666667,salt,ambient,0,0.912,1.958
1960,b1,blackwater,modern,0.5076666666666667,salt,ambient,0,5.631,9.886
1961,b3,blackwater,modern,0.4016666666666667,salt,ambient,0,3.451,8.324
1962,cm1,corn,modern,0.4016666666666667,salt,ambient,0,8.777000000000001,11.658
1963,ca6,corn,ancestral,0.4016666666666667,salt,ambient,0,3.953,8.850999999999999
1964,cm7,corn,modern,0.4016666666666667,salt,ambient,0,3.307,6.712
1965,ca3,corn,ancestral,0.4016666666666667,salt,ambient,1,2.9099999999999997,7.301
1966,km2,kirkpatrick,modern,0.4016666666666667,salt,ambient,0,4.047000000000001,6.931
1967,cm10,corn,modern,0.4016666666666667,salt,ambient,1,0,2.108
1968,ca9,corn,ancestral,0.4016666666666667,salt,ambient,1,1.279,4.823
1969,b4,blackwater,modern,0.30266666666666675,salt,ambient,0,6.924,11.006
1970,cm2,corn,modern,0.30266666666666675,salt,ambient,1,0,2.653
1971,cm5,corn,modern,0.30266666666666675,salt,ambient,0,11.684914994551553,14.337
1972,km5,kirkpatrick,modern,0.30266666666666675,salt,ambient,0,7.854,13.281
1973,cm9,corn,modern,0.30266666666666675,salt,ambient,1,4.5169999999999995,13.716000000000001
1974,ca7,corn,ancestral,0.30266666666666675,salt,ambient,0,13.264428704998746,20.406
1975,ka2,kirkpatrick,ancestral,0.30266666666666675,salt,ambient,0,0,NA
1976,ca4,corn,ancestral,0.30266666666666675,salt,ambient,1,6.188000000000001,11.754999999999999
1977,ca6,corn,ancestral,0.2010000000000001,salt,ambient,0,5.06382161226051,7.957999999999999
1978,ca4,corn,ancestral,0.2010000000000001,salt,ambient,1,2.004,2.5300000000000002
1979,cm5,corn,modern,0.2010000000000001,salt,ambient,0,7.7961267817614885,7.003
1980,cm6,corn,modern,0.2010000000000001,salt,ambient,1,11.676,14.794
1981,ca8,corn,ancestral,0.2010000000000001,salt,ambient,1,11.263,12.168000000000001
1982,km3,kirkpatrick,modern,0.2010000000000001,salt,ambient,0,8.626999999999999,10.876999999999999
1983,cm9,corn,modern,0.2010000000000001,salt,ambient,0,9.326175407628375,14.41
1984,ka4,kirkpatrick,ancestral,0.2010000000000001,salt,ambient,0,0,NA
1985,ca10,corn,ancestral,0.08366666666666676,salt,ambient,0,0,NA
1986,ka6,kirkpatrick,ancestral,0.08366666666666676,salt,ambient,0,2.42,1.49
1987,cm2,corn,modern,0.08366666666666676,salt,ambient,1,1.117,0.859
1988,b2,blackwater,modern,0.08366666666666676,salt,ambient,0,0,NA
1989,cm10,corn,modern,0.08366666666666676,salt,ambient,0,3.4419999999999997,1.952
1990,cm4,corn,modern,0.08366666666666676,salt,ambient,1,5.678,6.181
1991,ca6,corn,ancestral,0.08366666666666676,salt,ambient,1,4.763,4.804
1992,ca4,corn,ancestral,0.08366666666666676,salt,ambient,0,2.9379999999999997,2.718
1993,cm8,corn,modern,-0.014666666666666564,salt,ambient,1,0,NA
1994,cm10,corn,modern,-0.014666666666666564,salt,ambient,0,0,NA
1995,cm1,corn,modern,-0.014666666666666564,salt,ambient,0,0,NA
1996,ca7,corn,ancestral,-0.014666666666666564,salt,ambient,0,2.827,1.7120000000000002
1997,ca10,corn,ancestral,-0.014666666666666564,salt,ambient,1,0,NA
1998,ca2,corn,ancestral,-0.014666666666666564,salt,ambient,1,0.975,0.798
1999,ka3,kirkpatrick,ancestral,-0.014666666666666564,salt,ambient,0,0,NA
2000,km5,kirkpatrick,modern,-0.014666666666666564,salt,ambient,0,0,NA
